path,size,mtime_ns,ruleset_version,status,removal_reason
backward/0165e0e8_nohash_0.wav,32044,1774781844921187900,strict_v2,remove,abrupt_end_after_speech
backward/017c4098_nohash_0.wav,32044,1774781844923715600,strict_v2,keep,usable
backward/017c4098_nohash_1.wav,32044,1774781844925705500,strict_v2,keep,usable
backward/017c4098_nohash_2.wav,32044,1774781844927699500,strict_v2,keep,usable
backward/017c4098_nohash_3.wav,32044,1774781844929696600,strict_v2,keep,usable
backward/017c4098_nohash_4.wav,32044,1774781844931705300,strict_v2,keep,usable
backward/02ade946_nohash_0.wav,32044,1774781844932697600,strict_v2,keep,usable
backward/02ade946_nohash_1.wav,32044,1774781844935399400,strict_v2,keep,usable
backward/02ade946_nohash_2.wav,32044,1774781844936400600,strict_v2,keep,usable
backward/02ade946_nohash_3.wav,32044,1774781844938401700,strict_v2,keep,usable
backward/02ade946_nohash_4.wav,32044,1774781844940403000,strict_v2,keep,usable
backward/03401e93_nohash_0.wav,32044,1774781844941025900,strict_v2,keep,usable
backward/03401e93_nohash_1.wav,32044,1774781844943697000,strict_v2,remove,abrupt_end_after_speech
backward/042a8dde_nohash_0.wav,32044,1774781844945718100,strict_v2,remove,abrupt_end_after_speech
backward/042a8dde_nohash_1.wav,32044,1774781844947709100,strict_v2,keep,usable
backward/042a8dde_nohash_2.wav,32044,1774781844949396800,strict_v2,keep,usable
backward/042a8dde_nohash_3.wav,32044,1774781844951652500,strict_v2,remove,abrupt_end_after_speech
backward/050170cb_nohash_0.wav,32044,1774781844954174300,strict_v2,keep,usable
backward/050170cb_nohash_1.wav,32044,1774781844955181500,strict_v2,keep,usable
backward/050170cb_nohash_2.wav,32044,1774781844957199000,strict_v2,keep,usable
backward/050170cb_nohash_3.wav,32044,1774781844958962500,strict_v2,keep,usable
backward/050170cb_nohash_4.wav,32044,1774781844960963800,strict_v2,keep,usable
backward/0585b66d_nohash_0.wav,32044,1774781844962477200,strict_v2,keep,usable
backward/0585b66d_nohash_1.wav,32044,1774781844964489500,strict_v2,keep,usable
backward/0585b66d_nohash_2.wav,32044,1774781844965982800,strict_v2,keep,usable
backward/0585b66d_nohash_3.wav,32044,1774781844968231300,strict_v2,keep,usable
backward/0585b66d_nohash_4.wav,32044,1774781844970234500,strict_v2,remove,abrupt_end_after_speech
backward/067f61e2_nohash_0.wav,32044,1774781844971229700,strict_v2,keep,usable
backward/067f61e2_nohash_1.wav,32044,1774781844972744100,strict_v2,remove,abrupt_end_after_speech
backward/067f61e2_nohash_2.wav,32044,1774781844975613300,strict_v2,keep,usable
backward/067f61e2_nohash_3.wav,32044,1774781844977613100,strict_v2,keep,usable
backward/067f61e2_nohash_4.wav,32044,1774781844978614400,strict_v2,keep,usable
backward/06f6c194_nohash_0.wav,32044,1774781844980619700,strict_v2,keep,usable
backward/06f6c194_nohash_1.wav,32044,1774781844982614900,strict_v2,keep,usable
backward/06f6c194_nohash_2.wav,32044,1774781844984814400,strict_v2,keep,usable
backward/06f6c194_nohash_3.wav,32044,1774781844985826100,strict_v2,keep,usable
backward/06f6c194_nohash_4.wav,32044,1774781844987824000,strict_v2,keep,usable
backward/08ab231c_nohash_0.wav,32044,1774781844989824000,strict_v2,keep,usable
backward/08ab231c_nohash_1.wav,32044,1774781844990824700,strict_v2,keep,usable
backward/08ab231c_nohash_2.wav,32044,1774781844993611500,strict_v2,keep,usable
backward/08ab231c_nohash_3.wav,32044,1774781844994613700,strict_v2,keep,usable
backward/08ab231c_nohash_4.wav,32044,1774781844996626500,strict_v2,keep,usable
backward/0a2b400e_nohash_0.wav,32044,1774781844999367600,strict_v2,keep,usable
backward/0a2b400e_nohash_1.wav,32044,1774781845000606400,strict_v2,keep,usable
backward/0a2b400e_nohash_2.wav,32044,1774781845003116100,strict_v2,keep,usable
backward/0a2b400e_nohash_3.wav,32044,1774781845004127800,strict_v2,keep,usable
backward/0a2b400e_nohash_4.wav,32044,1774781845006139900,strict_v2,keep,usable
backward/0a396ff2_nohash_0.wav,21888,1774781845007677500,strict_v2,remove,short_clip
backward/0a5636ca_nohash_0.wav,32044,1774781845009907200,strict_v2,remove,abrupt_end_after_speech
backward/0b7ee1a0_nohash_0.wav,32044,1774781845010909900,strict_v2,keep,usable
backward/0b7ee1a0_nohash_1.wav,32044,1774781845013434700,strict_v2,keep,usable
backward/0b7ee1a0_nohash_2.wav,32044,1774781845015942000,strict_v2,keep,usable
backward/0b7ee1a0_nohash_3.wav,32044,1774781845017159200,strict_v2,remove,abrupt_end_after_speech
backward/0b7ee1a0_nohash_4.wav,32044,1774781845019160300,strict_v2,keep,usable
backward/0ba018fc_nohash_0.wav,32044,1774781845021163600,strict_v2,keep,usable
backward/0ba018fc_nohash_1.wav,32044,1774781845022675200,strict_v2,keep,usable
backward/0ba018fc_nohash_2.wav,32044,1774781845024375500,strict_v2,keep,usable
backward/0ba018fc_nohash_3.wav,32044,1774781845028640600,strict_v2,keep,usable
backward/0c540988_nohash_0.wav,32044,1774781845030636600,strict_v2,remove,speech_active_at_end
backward/0cb74144_nohash_0.wav,32044,1774781845031641000,strict_v2,keep,usable
backward/0cb74144_nohash_1.wav,32044,1774781845033856000,strict_v2,keep,usable
backward/0cb74144_nohash_2.wav,32044,1774781845035389200,strict_v2,keep,usable
backward/0cb74144_nohash_3.wav,32044,1774781845037381400,strict_v2,keep,usable
backward/0d6d7360_nohash_0.wav,32044,1774781845038385100,strict_v2,keep,usable
backward/0d6d7360_nohash_1.wav,32044,1774781845040381200,strict_v2,keep,usable
backward/0d6d7360_nohash_2.wav,32044,1774781845042634500,strict_v2,keep,usable
backward/0d6d7360_nohash_3.wav,32044,1774781845043682600,strict_v2,keep,usable
backward/0d6d7360_nohash_4.wav,32044,1774781845045681400,strict_v2,keep,usable
backward/0d82fd99_nohash_0.wav,32044,1774781845047681000,strict_v2,remove,abrupt_end_after_speech
backward/0d82fd99_nohash_1.wav,32044,1774781845049265300,strict_v2,remove,abrupt_end_after_speech
backward/0d82fd99_nohash_2.wav,32044,1774781845050501500,strict_v2,remove,abrupt_end_after_speech
backward/0d82fd99_nohash_3.wav,32044,1774781845052498800,strict_v2,keep,usable
backward/0d85a428_nohash_0.wav,22334,1774781845054016100,strict_v2,remove,short_clip
backward/0d90d8e1_nohash_0.wav,32044,1774781845055975600,strict_v2,keep,usable
backward/0d90d8e1_nohash_1.wav,32044,1774781845057405100,strict_v2,keep,usable
backward/0d90d8e1_nohash_2.wav,32044,1774781845059573100,strict_v2,keep,usable
backward/0d90d8e1_nohash_3.wav,32044,1774781845067870300,strict_v2,keep,usable
backward/0e6e36c9_nohash_0.wav,32044,1774781845068868100,strict_v2,keep,usable
backward/0e6e36c9_nohash_1.wav,32044,1774781845070870000,strict_v2,keep,usable
backward/0e6e36c9_nohash_2.wav,32044,1774781845073399300,strict_v2,keep,usable
backward/0e6e36c9_nohash_3.wav,32044,1774781845079538300,strict_v2,keep,usable
backward/0e6e36c9_nohash_4.wav,32044,1774781845080539300,strict_v2,keep,usable
backward/0e8ec1cb_nohash_0.wav,27350,1774781845082862300,strict_v2,keep,usable
backward/0ea9c8ce_nohash_0.wav,32044,1774781845083860900,strict_v2,keep,usable
backward/0ea9c8ce_nohash_1.wav,32044,1774781845086883200,strict_v2,keep,usable
backward/0ea9c8ce_nohash_2.wav,32044,1774781845087883300,strict_v2,keep,usable
backward/0ea9c8ce_nohash_3.wav,32044,1774781845090884300,strict_v2,keep,usable
backward/0ea9c8ce_nohash_4.wav,32044,1774781845092960700,strict_v2,keep,usable
backward/0f46028a_nohash_0.wav,32044,1774781845094101600,strict_v2,keep,usable
backward/0f46028a_nohash_1.wav,32044,1774781845096166900,strict_v2,keep,usable
backward/0f46028a_nohash_2.wav,32044,1774781845100199300,strict_v2,keep,usable
backward/0f46028a_nohash_3.wav,32044,1774781845101194200,strict_v2,keep,usable
backward/0f46028a_nohash_4.wav,32044,1774781845104742300,strict_v2,keep,usable
backward/0f7266cf_nohash_0.wav,32044,1774781845105719500,strict_v2,remove,abrupt_end_after_speech
backward/0f7266cf_nohash_1.wav,32044,1774781845107721500,strict_v2,keep,usable
backward/0f7266cf_nohash_2.wav,32044,1774781845109086700,strict_v2,remove,abrupt_end_after_speech
backward/0f7266cf_nohash_3.wav,32044,1774781845111093200,strict_v2,remove,speech_active_at_end
backward/113b3fbc_nohash_0.wav,32044,1774781845112604600,strict_v2,keep,usable
backward/113b3fbc_nohash_1.wav,32044,1774781845113623900,strict_v2,keep,usable
backward/113b3fbc_nohash_2.wav,32044,1774781845115939000,strict_v2,keep,usable
backward/113b3fbc_nohash_3.wav,32044,1774781845117558700,strict_v2,keep,usable
backward/113b3fbc_nohash_4.wav,32044,1774781845120608900,strict_v2,keep,usable
backward/131e738d_nohash_0.wav,32044,1774781845122615700,strict_v2,keep,usable
backward/131e738d_nohash_1.wav,32044,1774781845124166200,strict_v2,keep,usable
backward/131e738d_nohash_2.wav,32044,1774781845126351200,strict_v2,keep,usable
backward/131e738d_nohash_3.wav,32044,1774781845128463000,strict_v2,keep,usable
backward/131e738d_nohash_4.wav,32044,1774781845130459600,strict_v2,keep,usable
backward/13a93b33_nohash_0.wav,32044,1774781845132971900,strict_v2,keep,usable
backward/13dce503_nohash_0.wav,28280,1774781845135502200,strict_v2,keep,usable
backward/13dce503_nohash_1.wav,31252,1774781845137497000,strict_v2,keep,usable
backward/13dce503_nohash_2.wav,32044,1774781845139495700,strict_v2,keep,usable
backward/1474273a_nohash_0.wav,26794,1774781845143567600,strict_v2,keep,usable
backward/1474273a_nohash_1.wav,25306,1774781845145583000,strict_v2,remove,short_clip
backward/1496195a_nohash_0.wav,32044,1774781845147578800,strict_v2,keep,usable
backward/1496195a_nohash_1.wav,32044,1774781845149131400,strict_v2,keep,usable
backward/1496195a_nohash_2.wav,32044,1774781845149131400,strict_v2,keep,usable
backward/1496195a_nohash_3.wav,32044,1774781845152656600,strict_v2,keep,usable
backward/14c7b073_nohash_0.wav,32044,1774781845152656600,strict_v2,keep,usable
backward/14c7b073_nohash_1.wav,32044,1774781845152656600,strict_v2,keep,usable
backward/14c7b073_nohash_2.wav,32044,1774781845152656600,strict_v2,remove,speech_active_at_end
backward/14c7b073_nohash_3.wav,32044,1774781845158621000,strict_v2,remove,speech_active_at_end
backward/14c7b073_nohash_4.wav,32044,1774781845160617900,strict_v2,keep,usable
backward/1589451d_nohash_0.wav,30080,1774781845161625900,strict_v2,keep,usable
backward/1589451d_nohash_1.wav,17792,1774781845163142100,strict_v2,remove,short_clip
backward/15dd287d_nohash_0.wav,32044,1774781845165158100,strict_v2,keep,usable
backward/15dd287d_nohash_1.wav,32044,1774781845166997600,strict_v2,keep,usable
backward/15dd287d_nohash_2.wav,32044,1774781845170998400,strict_v2,keep,usable
backward/15dd287d_nohash_3.wav,32044,1774781845172510400,strict_v2,keep,usable
backward/15dd287d_nohash_4.wav,32044,1774781845174524600,strict_v2,keep,usable
backward/171edea9_nohash_0.wav,32044,1774781845176753000,strict_v2,keep,usable
backward/171edea9_nohash_1.wav,32044,1774781845177752400,strict_v2,keep,usable
backward/171edea9_nohash_2.wav,32044,1774781845179753200,strict_v2,keep,usable
backward/171edea9_nohash_3.wav,32044,1774781845181758500,strict_v2,keep,usable
backward/171edea9_nohash_4.wav,32044,1774781845183075500,strict_v2,keep,usable
backward/189cbabe_nohash_0.wav,32044,1774781845185216800,strict_v2,keep,usable
backward/189cbabe_nohash_1.wav,32044,1774781845188209900,strict_v2,remove,abrupt_end_after_speech
backward/189cbabe_nohash_2.wav,32044,1774781845190211400,strict_v2,keep,usable
backward/189cbabe_nohash_3.wav,32044,1774781845192541100,strict_v2,keep,usable
backward/189cbabe_nohash_4.wav,32044,1774781845193560600,strict_v2,keep,usable
backward/18d84076_nohash_0.wav,32044,1774781845195577500,strict_v2,remove,abrupt_end_after_speech
backward/18e910f4_nohash_0.wav,32044,1774781845197574400,strict_v2,keep,usable
backward/18e910f4_nohash_1.wav,32044,1774781845200291200,strict_v2,keep,usable
backward/18e910f4_nohash_2.wav,32044,1774781845201563600,strict_v2,keep,usable
backward/18e910f4_nohash_3.wav,32044,1774781845203615000,strict_v2,keep,usable
backward/18f8afd5_nohash_0.wav,32044,1774781845204615900,strict_v2,remove,abrupt_end_after_speech
backward/18f8afd5_nohash_1.wav,32044,1774781845206626200,strict_v2,keep,usable
backward/18f8afd5_nohash_2.wav,32044,1774781845208072000,strict_v2,keep,usable
backward/18f8afd5_nohash_3.wav,32044,1774781845210071700,strict_v2,keep,usable
backward/18f8afd5_nohash_4.wav,32044,1774781845212586700,strict_v2,keep,usable
backward/18ffa72d_nohash_0.wav,19362,1774781845214608800,strict_v2,remove,short_clip
backward/195c120a_nohash_0.wav,32044,1774781845216911100,strict_v2,keep,usable
backward/195c120a_nohash_1.wav,32044,1774781845219194800,strict_v2,keep,usable
backward/195c120a_nohash_2.wav,32044,1774781845220194400,strict_v2,remove,abrupt_end_after_speech
backward/1970b130_nohash_0.wav,32044,1774781845222703400,strict_v2,remove,speech_active_at_end
backward/1970b130_nohash_1.wav,31446,1774781845224392600,strict_v2,remove,abrupt_end_after_speech
backward/19a1e5c7_nohash_0.wav,24156,1774781845227627800,strict_v2,remove,short_clip
backward/1a0f9c63_nohash_0.wav,19362,1774781845230607300,strict_v2,remove,short_clip
backward/1a0f9c63_nohash_1.wav,14904,1774781845232941900,strict_v2,remove,short_clip
backward/1a73dcd1_nohash_0.wav,30080,1774781845234667400,strict_v2,remove,speech_active_at_end
backward/1a994c9f_nohash_0.wav,32044,1774781845236683700,strict_v2,remove,abrupt_end_after_speech
backward/1a994c9f_nohash_1.wav,32044,1774781845238684300,strict_v2,keep,usable
backward/1a994c9f_nohash_2.wav,32044,1774781845241485800,strict_v2,keep,usable
backward/1a994c9f_nohash_3.wav,32044,1774781845243513800,strict_v2,keep,usable
backward/1a994c9f_nohash_4.wav,32044,1774781845245526000,strict_v2,keep,usable
backward/1acc97de_nohash_0.wav,32044,1774781845246529900,strict_v2,keep,usable
backward/1acc97de_nohash_1.wav,32044,1774781845248534400,strict_v2,remove,speech_active_at_end
backward/1acc97de_nohash_2.wav,32044,1774781845251694600,strict_v2,remove,speech_active_at_end
backward/1acc97de_nohash_3.wav,32044,1774781845255241500,strict_v2,keep,usable
